"numero";"descricao";"autorias";"links";"plataformas"
"037";"Contagem de 1 a 100 num sistema de numeração binário, onde cada bit é um módulo hexagonal com curvas, e seu valor é baseado no ângulo de rotação (0° = 0, 60° = 1).";"Vinícius Ladivez";"instagram.com/vladivez";"Processing"
"038";"1 a 100 agentes transitam sobre um campo vetorial ruidoso.";"Mateus Berruezo";"codigotranscendente.github.io/livro";"Processing"
"039";"Códigos Arcturianos - Ascensão é uma investigação sobre a geometria presente nos códigos Arcturianos. Estas imagens foram criadas originalmente com intenção de cura. Ao observar estas geometrias consideradas sagradas, há um convite para alcançar altos níveis consciência (neste caso a Ascensão).";"Vamoss";"openprocessing.org/sketch/1241518";"p5.js"
"040";"Um círculo é desfocado 100 vezes.";"Guilherme Vieira";"guilhermevieira.info";"Processing"
"041";"100 títulos de artigos aleatórios da Wikipedia, um para cada número.";"Guilherme Vieira";"guilhermevieira.info";"p5.js"
"042";"Cria uma linha contínua que caminha aleatoriamente dentro de um grid de 10 x 10 pontos.";"Thiago Correia";"instagram.com/thcorreiag";"Processing"
"043";"O 1 gera um ponto. O 2 gera um segmento de reta. O 3 gera um triângulo. O 4, um quadrado... e assim até formar um polígono de 100 lados.";"Marlon Tenório";"instagram.com/codingp5";"p5.js"
"044";"Sobreposições de imagens aleatórias do site Unsplash para cada valor da contagem.";"Guilherme Vieira";"guilhermevieira.info";"Processing, Python"
"045";"100 glifos do bloco de símbolos do Unicode, um para cada valor da contagem.";"Guilherme Vieira";"guilhermevieira.info";"Processing"
"046";"Reproduz uma fotografia limitando a quantidade de tons de acordo com o valor da contagem.";"Guilherme Vieira";"guilhermevieira.info";"Processing"
"047";"Cria 100 símbolos únicos baseado no trabalho Diamond Theory, de Steven Cullinane, publicado na revista Computer Graphics and Art de 1977.";"Guilherme Vieira";"guilhermevieira.info";"p5.js"
"048";"Procura na constante PI a primeira aparição de um dos valores de 1 a 100.";"Guilherme Vieira";"guilhermevieira.info";"Processing"
"049";"Círculos em crescente que geram cones a partir da divisão da largura da imagem e de parâmetros que alteram com a contagem de quadros. Lágrimas graduais com parâmetro para cessar.";"Jéssica Breda";"jmrcg.hotglue.me";"p5.js"
"050";"Uma imagem é compactada em JPEG variando sua qualidade de 1 a 100.";"Guilherme Vieira";"guilhermevieira.info";"Processing"
"051";"Contagem de 1 a 100 utilizando FIGlet. Cada contagem exibe, abaixo do número, o nome da fonte.";"Guilherme Vieira";"guilhermevieira.info";"Python"
"052";"Um feixe de luz parte do centro da imagem e é refletido 100 vezes.";"Guilherme Vieira";"guilhermevieira.info";"Processing"
"053";"Linhas que atravessam os extremos da imagem, em número igual ao valor da contagem.";"Guilherme Vieira";"guilhermevieira.info";"Nodebox 3"
"054";"Um polígono irregular é solto no ar para cada valor da contagem. As formas se acumulam dentro dos limites da imagem.";"Guilherme Vieira";"guilhermevieira.info";"p5.js"
"055";"Cria uma grade com 528 células. Se o índice da célula for um número primo, ela fica destacada. O processo ocorre até 100 números primos serem destacados.";"Guilherme Vieira";"guilhermevieira.info";"Processing"
"056";"Uma visualização do ruído de Perlin, onde a cada valor da contagem aumenta em 10 vezes a visualização desenhada.";"Guilherme Vieira";"guilhermevieira.info";"NodeBox 3"
"057";"Em uma malha de 10 por 10, cada célula é ocupada sequencialmente por um módulo aleatório, sendo que o módulo anterior define quais módulos podem ser utilizados na sequência.";"Guilherme Vieira";"guilhermevieira.info";"p5.js"
"058";"Um círculo é desenhado em 100 passos utilizando funções de seno e coseno para calcular cada uma das coordenadas.";"Guilherme Vieira";"guilhermevieira.info";"NodeBox 3"
"059";"Gera a escrita por extenso de cada um dos números de 1 a 100, utilizando a fonte Outward, do coletivo Velvetyne.";"Guilherme Vieira";"guilhermevieira.info";"Processing"
"060";"Um QR code para cada valor da contagem.";"Guilherme Vieira";"guilhermevieira.info";"Python"
"061";"Imprime 100 círculos com cores e posições aleatórias. Os círculos são formados por pontos, e a quantidade de pontos e o tamanho do círculos são determinados de forma inversamente proporcional à contagem a 100.";"Lucas Gabriel Lima";"github.com/LucasGabrielLima";"Processing"
"062";"A imagem é divida em quatro quadrantes espelhados horizontalmente e verticalmente. Para cada valor da contagem, uma quantidade equivalente de triângulos é desenhada em cada quadrante.";"Guilherme Vieira";"guilhermevieira.info";"NodeBox 3"
"063";"Sintetiza um áudio para cada valor da contagem. A partir de cada áudio, é gerado um gráfico de sua amplitude em relação ao tempo.";"Guilherme Vieira";"guilhermevieira.info";"Python"
"064";"Atribui uma letra aleatória para cada número de 0 a 9 e realiza a contagem de 1 a 100 utilizando as letras no lugar dos números.";"Guilherme Vieira";"guilhermevieira.info";"Python"
"065";"Cria um sistema de partículas com a quantidade de partículas igual ao valor da contagem. Elas são classificadas em dois tipos distintos: as do mesmo tipo se repelem e as diferentes se atraem.";"Guilherme Vieira";"guilhermevieira.info";"p5.js"
"066";"Conversão da contagem de 1 a 100 da base 10 para uma base 14. Cada carta do naipe de paus, mais o coringa, representa um símbolo da base 14.";"Guilherme Vieira";"guilhermevieira.info";"p5.js"
"067";"Cria uma escada de 100 degraus, um para cada valor da contagem.";"Guilherme Vieira";"guilhermevieira.info";"Python"
"068";"Atribui um valor numérico para cada caractere único do nome por extenso dos números de 1 a 100. A partir desse mapa de caracteres e valores, desenha um gráfico para cada valor da contagem.";"Gabriela Momberg, Guilherme Vieira";"instagram.com/g.r.a.n.u.l.a.r, guilhermevieira.info";"Nodebox 3"
"069";"Calcula 100 linhas do triângulo de Pascal.";"Guilherme Vieira";"guilhermevieira.info";"p5.js"
"070";"Para cada número da contagem, executa um algoritmo de Reação-Difusão. Cada número tem uma quantidade inicial de pontos reagentes equivalmente ao valor da contagem.";"Guilherme Vieira";"guilhermevieira.info";"Processing"
"071";"Exibe os 100 primeiros dias do ano.";"Guilherme Vieira";"guilhermevieira.info";"p5.js"
"072";"Faz o cruzamento entre duas linhas a cada valor da contagem.";"João Generoso";"joaogeneroso.com";"p5.js"
"073";"Adiciona um número correspondente à contagem, enquanto os anteriores gradualmente desaparecem em uma espiral descendente.";"João Generoso";"joaogeneroso.com";"Geometry Nodes"
"074";"Uma vela que derrete conforme a contagem avança, desaparecendo completamente ao chegar no número 100.";"João Generoso";"joaogeneroso.com";"Geometry Nodes"
"075";"Desenhando fractal do conjunto mandelbrot para reticulado [0, 0.5] x [0, 0.5], onde pra cada i interações de 1 até 100 são computados pontos (x, y) para os quais x²+y² < 2² pintados de preto. Imagens criadas com módulo próprio PYIMM.";"Wandeson Ricardo (WSRicardo)";"github.com/wsricardo";"Python"
"076";"Desenha uma série de padrões a partir de valores obtidos da função (x, y) = ((x ^ y)) / i, onde i varia de 1 a 100.";"Guilherme Vieira";"guilhermevieira.info";"Processing"
"077";"Realiza uma contagem de 1 a 100 por extenso, porém em ordem alfabética.";"Guilherme Vieira";"guilhermevieira.info";"NodeBox 3"
"078";"Cria uma linha em um espaço tridimensional. A cada valor da contagem, acrescenta um segmento na linha.";"Guilherme Vieira";"guilhermevieira.info";"Geometry Nodes"
"079";"Gera uma lista dos 100 álbuns mais ouvidos nos últimos 365 dias por um usuário do Last.fm.";"Guilherme Vieira";"guilhermevieira.info";"Python"
"080";"A contagem apresenta uma série de barras relativa a cada valor. Cada uma das barras tem a sua altura baseada no quadrado do valor da sua ordem.";"Guilherme Vieira";"guilhermevieira.info";"Processing"
"081";"Cria uma lista com 100 endereços  IP únicos e suas relações geoespaciais. Para cada valor da contagem, exibe um endereço de IP da lista sobre um mapa da sua localização aproximada na superfície da terra.";"Guilherme Vieira";"guilhermevieira.info";"Python, p5.js"
"082";"Cria uma série de ondas para cada valor da contagem. As ondas de cada contagem são o resultado da soma dos parâmetros das ondas da contagem anterior com novos parâmetros.";"Guilherme Vieira";"guilhermevieira.info";"p5.js"
"083";"Visualiza um ruído de Voronoi para cada valor da contagem.";"Guilherme Vieira";"guilhermevieira.info";"p5.js"
"084";"Cria uma grade de 50 x 50 quadrados. A cada valor da contagem, os quadrados que tiverem um posicionamento múltiplo ao valor da contagem são pintados de branco.";"Guilherme Vieira";"guilhermevieira.info";"p5.js"
"085";"Corta uma imagem em 100 fatias horizontais. A cada valor da contagem, desloca horizontalmente cada uma das fatias.";"Guilherme Vieira";"guilhermevieira.info";"p5.js"
"086";"Uma visualização do vento na cidade de Salvador, Bahia, nos 100 primeiros dias de 2023. Cada horário do dia é indicado por um ponto, de onde saem duas linhas na direção do vento naquele horário: a mais grossa representa sua velocidade média e a mais fina, a velocidade da rajada mais forte.";"Guilherme Vieira";"guilhermevieira.info";"NodeBox 3"
"087";"Copia e rotaciona uma foto n vezes de acordo com o valor da contagem.";"Guilherme Vieira";"guilhermevieira.info";"Processing"
"088";"Recorta uma imagem em 225 quadrados. A cada valor da contagem, realiza a troca de lugar entre 2 recortes. Os recortes podem ser trocados apenas 1 vez.";"Guilherme Vieira";"guilhermevieira.info";"p5.js"
"089";"Um traço para cada valor da contagem, que se agrupa em grupos de 4. O quarto traço é feito na diagonal, fechando aquele grupo.";"Guilherme Vieira";"guilhermevieira.info";"p5.js"
"090";"Cria uma grade e a cada valor da contagem escolhe uma célula aleatória e analisa a cor das células vizinhas. Se sua cor for preto, muda para branco e se for branco, muda para preto.";"Guilherme Vieira";"guilhermevieira.info";"p5.js"
"091";"Desenha algum desses elementos: quadrado, xis ou cruz. A cada novo valor da contagem, escolhe 4 pontos mais distantes do centro (a partir do que já foi desenhado) e desenha novos elementos. Se o desenho encosta na borda, retorna ao centro. A cada valor, o traço fica mais espesso.";"Guilherme Vieira";"guilhermevieira.info";"p5.js"
"092";"Cria um efeito de caleidoscópio em que a quantidade de imagens espelhadas é proporcional ao valor da contagem.";"Guilherme Vieira";"guilhermevieira.info";"p5.js"
"093";"Cria dois conjuntos de linhas que vão de um centro comum para a extremidade. A cada valor da contagem, cada um desses conjuntos de linhas se desloca para uma das extremidades da imagem. O deslocamento gera uma série de padrões moiré.";"Guilherme Vieira";"guilhermevieira.info";"Processing-Python"
"094";"Para cada valor da contagem, escolhe um desenho geométrico entre cinco possibilidades. Os desenhos vão se sobrepondo alternando entre os modos de mesclagem 'Blend' e 'Difference'.";"Guilherme Vieira";"guilhermevieira.info";"Processing-Python"
"095";"Cria um gradiente do canto superior esquerdo ao canto inferior direito. A quantidade de tons do gradiente é equivalente ao valor da contagem.";"Guilherme Vieira";"guilhermevieira.info";"p5.js"
"096";"Analisa a primeira parte do código das linhas de ônibus de São Paulo. Os 2 últimos dígitos dessa parte do código são equivalentes ao valor da contagem, ignorando-se letras. As linhas diurnas possuem fundo branco e as noturnas, preto.";"Guilherme Vieira";"guilhermevieira.info";"Nodebox 3, Python"
"097";"Para cada valor da contagem, realiza uma busca por imagens no Duck Duck Go e retorna o primeiro resultado. Várias buscas foram realizadas utilizando parâmetros diferentes e as imagens finais são uma curadoria manual dos diferentes resultados.";"Guilherme Vieira";"guilhermevieira.info";"Python"
"098";"Inspirado no relógio analógico, cria uma contagem onde o ponteiro menor indica as dezenas e o maior, as unidades.";"Guilherme Vieira";"guilhermevieira.info";"NodeBox 3"
"099";"Cria aleatoriamente uma operação aritmética cujo o resultado é igual ao valor da contagem.";"Guilherme Vieira";"guilhermevieira.info";"p5.js"
"100";"Seleciona uma imagem aleatória de cada uma das contagens feitas para esse projeto. Atribui um valor de luminosidade para a imagem. Com esses dados, reticula um vídeo de mãos batendo palmas. Esta contagem é um agradecimento a todo mundo que participou desse projeto.";"Guilherme Vieira";"guilhermevieira.info";"Processing, Python"
